"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
47,"imatinib homo sapiens gpl201 gds838 chdir down",82,4,0,4,0,0.00371250037831988,0.0959750097802694
47,"valproic acid mus musculus gpl6885 gse41020 chdir down",82,4,0,7,2,2.26565198643115e-05,0.00143765916957177
47,"vorinostat homo sapiens gpl6884 gse46703 chdir down",82,4,0,3,0,0.000430161023623949,0.0150126197244758
47,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",82,4,0,2,0,NA,NA
47,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",82,4,0,3,0,NA,NA
47,"dexamethasone homo sapiens gpl570 gse37474 chdir down",82,4,0,2,1,NA,NA
47,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",82,4,0,3,0,NA,NA
47,"valproic acid homo sapiens gpl570 gse14973 chdir down",82,4,0,12,1,4.92539644754637e-07,5.72987786731227e-05
47,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",82,4,0,4,1,0.0200209894594463,0.349366266067338
47,"dexamethasone mus musculus gpl339 gse2342 chdir down",82,4,0,5,0,0.00237436069801409,0.0662921506885535
47,"captopril mus musculus gpl1261 gds3683 chdir down",82,4,0,12,1,0.00323626210705164,0.0868811904123863
47,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",82,4,0,1,0,NA,NA
47,"cyclophosphamide mus musculus gpl13209 gse27422 chdir down",82,4,0,2,0,NA,NA
47,"cyclophosphamide mus musculus gpl13209 gds4004 chdir down",82,4,0,1,0,NA,NA
47,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",82,4,0,3,0,NA,NA
47,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",82,4,0,4,0,NA,NA
47,"estradiol homo sapiens gpl6947 gse27375 chdir down",82,4,0,3,0,NA,NA
47,"deferasirox homo sapiens gpl570 gds3558 chdir down",82,4,0,6,0,NA,NA
48,"prednisolone homo sapiens gpl570 gse32962 chdir down",65,4,0,10,1,0.000373520871181532,0.0651793920211774
48,"ethanol homo sapiens gpl96 gds2767 chdir down",65,4,0,1,0,NA,NA
48,"doxorubicin mus musculus gpl8321 gse17115 chdir down",65,4,0,6,0,4.62313857420744e-06,0.00322695072479679
48,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",65,4,0,6,0,0.00195545672173024,0.170613598970964
48,"letrozole homo sapiens gpl3921 gse33366 chdir down",65,4,0,3,1,NA,NA
48,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",65,4,0,1,1,NA,NA
48,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",65,4,0,1,0,NA,NA
48,"enzalutamide homo sapiens gpl570 gse44905 chdir down",65,4,0,8,0,0.00106474111909663,0.148637860225889
48,"imatinib homo sapiens gpl201 gds838 chdir down",65,4,0,2,0,NA,NA
48,"valproic acid mus musculus gpl6885 gse41020 chdir down",65,4,0,1,1,NA,NA
48,"vorinostat homo sapiens gpl6884 gse46703 chdir down",65,4,0,2,0,0.00610185648070154,0.425909582352968
48,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",65,4,0,1,0,NA,NA
48,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",65,4,0,1,0,NA,NA
48,"dexamethasone homo sapiens gpl570 gse37474 chdir down",65,4,0,2,0,NA,NA
48,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",65,4,0,2,0,NA,NA
48,"valproic acid homo sapiens gpl570 gse14973 chdir down",65,4,0,3,0,NA,NA
48,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",65,4,0,2,0,NA,NA
48,"dexamethasone mus musculus gpl339 gse2342 chdir down",65,4,0,3,0,0.0372753049117062,1
48,"celecoxib homo sapiens gpl8300 gds3384 chdir down",65,4,0,2,0,NA,NA
48,"captopril mus musculus gpl1261 gds3683 chdir down",65,4,0,5,0,NA,NA
48,"vorinostat homo sapiens gpl571 gse18544 chdir down",65,4,0,4,1,NA,NA
48,"probucol mus musculus gpl9526 gds3619 chdir down",65,4,0,1,0,NA,NA
48,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",65,4,0,1,0,NA,NA
48,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",65,4,0,4,1,NA,NA
48,"estradiol homo sapiens gpl6947 gse27375 chdir down",65,4,0,3,1,NA,NA
48,"deferasirox homo sapiens gpl570 gds3558 chdir down",65,4,0,3,0,NA,NA
50,"prednisolone homo sapiens gpl570 gse32962 chdir down",40,3,0,5,1,0.0257566879262857,0.599272272418247
50,"ethanol homo sapiens gpl96 gds2767 chdir down",40,3,0,1,0,NA,NA
50,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",40,3,0,2,0,0.0482892678118314,0.842647723316458
50,"doxorubicin mus musculus gpl8321 gse17115 chdir down",40,3,0,2,0,0.0290364144541093,0.633356790280259
